benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
direct-decrypt,4000,50,8,400,2000,4000,96316.171036,0,96316.171036,24.079042759,31483.388842,31522.222473,33310.559721
direct-decrypt,4000,50,9,400,2000,4000,96351.185268,0,96351.185268,24.087796317,31481.403716,31565.982454,33303.799098
direct-decrypt,4000,50,10,400,2000,4000,96258.72466,0,96258.72466,24.064681165000003,31586.322478,31415.170804,33257.231378
direct-decrypt,8000,10,1,800,800,8000,192654.426041,0,192654.426041,24.081803255125,62966.78189,63021.031822,66666.612329
direct-decrypt,8000,10,2,800,800,8000,192533.398803,0,192533.398803,24.066674850374998,62976.470641,63010.585867,66546.342295
direct-decrypt,8000,10,3,800,800,8000,192946.559478,0,192946.559478,24.11831993475,62960.01631,63356.358294,66630.184874
direct-decrypt,8000,10,4,800,800,8000,192461.651187,0,192461.651187,24.057706398375,62898.036793,63035.560787,66528.053607
direct-decrypt,8000,10,5,800,800,8000,192766.953688,0,192766.953688,24.095869211,63123.505124,63241.814644,66401.63392
direct-decrypt,8000,10,6,800,800,8000,191992.997917,0,191992.997917,23.999124739625,62776.58663,62840.570822,66375.840465
direct-decrypt,8000,10,7,800,800,8000,192595.468596,0,192595.468596,24.0744335745,62878.348431,63251.061149,66466.059016
direct-decrypt,8000,10,8,800,800,8000,192321.204317,0,192321.204317,24.040150539625,62959.140724,62888.614186,66473.449407
direct-decrypt,8000,10,9,800,800,8000,192146.142322,0,192146.142322,24.01826779025,62974.819029,62668.938063,66502.38523
