benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
link-decrypt,500,50,6,50,250,250,16637.816308,11446.043518,5191.77279,33.275632616,5081.284836,5095.956217,6458.893067
link-decrypt,500,50,7,50,250,250,16544.416961,11366.514633,5177.902328,33.088833922,5061.021445,5061.656455,6420.066222
link-decrypt,500,50,8,50,250,250,16562.526933,11365.425567,5197.101366,33.125053866,5078.296048,5065.542335,6417.072391
link-decrypt,500,50,9,50,250,250,16662.472203,11474.382857,5188.089346,33.324944406,5073.899056,5135.869404,6451.026344
link-decrypt,500,50,10,50,250,250,16600.208182,11405.917165,5194.291017,33.200416364,5077.072168,5080.589496,6440.86687
link-decrypt,1000,10,1,100,100,100,24942.010041,22855.067184,2086.942857,24.942010041,8130.265382,8131.973854,8676.269321
link-decrypt,1000,10,2,100,100,100,24879.954778,22804.341625,2075.613153,24.879954778,8109.02446,8114.823545,8652.941902
link-decrypt,1000,10,3,100,100,100,24946.545458,22862.555926,2083.989532,24.946545458,8133.039486,8130.901992,8679.366888
link-decrypt,1000,10,4,100,100,100,24949.481525,22863.171863,2086.309662,24.949481525,8112.260761,8173.873797,8660.121103
link-decrypt,1000,10,5,100,100,100,25113.521815,23024.253768,2089.268047,25.113521815,8216.841825,8187.161053,8705.983284
link-decrypt,1000,10,6,100,100,100,25084.324335,22962.142954,2122.181381,25.084324335,8182.095406,8150.179275,8748.539781
link-decrypt,1000,10,7,100,100,100,25124.431767,23034.976611,2089.455156,25.124431766999997,8171.615096,8239.05455,8710.368564
link-decrypt,1000,10,8,100,100,100,25085.7445,22989.107999,2096.636501,25.0857445,8227.86892,8156.55804,8697.270509
link-decrypt,1000,10,9,100,100,100,24964.166266,22881.133516,2083.03275,24.964166266,8129.718104,8139.534423,8691.708509
link-decrypt,1000,10,10,100,100,100,24963.822999,22875.60639,2088.216609,24.963822999,8145.284284,8135.283009,8680.051486
link-decrypt,1000,50,1,100,500,500,33341.646114,22876.950451,10464.695663,33.341646114,10198.852245,10195.569619,12943.91505
link-decrypt,1000,50,2,100,500,500,33230.866992,22846.064078,10384.802914,33.230866992,10166.485284,10170.541775,12890.601521
link-decrypt,1000,50,3,100,500,500,33310.832705,22904.957888,10405.874817,33.310832705,10219.505383,10177.985838,12909.577026
link-decrypt,1000,50,4,100,500,500,33393.166162,22904.039955,10489.126207,33.393166162,10212.402937,10240.285887,12937.239435
link-decrypt,1000,50,5,100,500,500,33256.347729,22868.453153,10387.894576,33.256347729,10183.086628,10176.789798,12893.22207
link-decrypt,1000,50,6,100,500,500,33312.305711,22899.128487,10413.177224,33.312305711,10228.003991,10177.679039,12903.374438
link-decrypt,1000,50,7,100,500,500,33297.054732,22908.021005,10389.033727,33.297054732,10190.894326,10157.321964,12945.544819
link-decrypt,1000,50,8,100,500,500,33310.964841,22853.696071,10457.26877,33.310964841,10184.150235,10165.339699,12958.215373
link-decrypt,1000,50,9,100,500,500,33366.146473,22930.885228,10435.261245,33.366146473,10229.763216,10206.074743,12927.06352
link-decrypt,1000,50,10,100,500,500,33253.862949,22864.842154,10389.020795,33.253862949,10171.566688,10163.647536,12915.392441
link-decrypt,2000,10,1,200,200,200,49763.341236,45607.085415,4156.255821,24.881670618,16235.365563,16228.749193,17292.925659
link-decrypt,2000,10,2,200,200,200,49774.074321,45627.17848,4146.895841,24.8870371605,16221.282934,16246.056507,17300.34072
link-decrypt,2000,10,3,200,200,200,49774.900808,45629.279311,4145.621497,24.887450404,16191.048229,16250.009141,17327.648036
link-decrypt,2000,10,4,200,200,200,49997.586522,45764.183765,4233.402757,24.998793261,16319.81697,16271.800037,17399.026968
link-decrypt,2000,10,5,200,200,200,49854.664879,45689.717789,4164.94709,24.927332439500002,16267.827732,16258.074712,17322.472394
link-decrypt,2000,10,6,200,200,200,49749.329335,45608.223403,4141.105932,24.8746646675,16211.853423,16262.918621,17267.859719
link-decrypt,2000,10,7,200,200,200,49936.222252,45782.487077,4153.735175,24.968111126,16219.667601,16400.6357,17309.560561
link-decrypt,2000,10,8,200,200,200,49754.919878,45617.39967,4137.520208,24.877459939,16161.332182,16223.859825,17363.231105
link-decrypt,2000,10,9,200,200,200,49749.592535,45590.295464,4159.297071,24.874796267500003,16256.182749,16211.615981,17275.49729
link-decrypt,2000,10,10,200,200,200,49948.016658,45783.485133,4164.531525,24.974008329,16303.697199,16243.708678,17394.265889
link-decrypt,2000,50,1,200,1000,1000,66234.500545,45567.215342,20667.285203,33.1172502725,20249.099358,20257.362849,25720.393606
link-decrypt,2000,50,2,200,1000,1000,66405.594799,45625.30676,20780.288039,33.2027973995,20316.995448,20312.539572,25769.600659
link-decrypt,2000,50,3,200,1000,1000,66427.017744,45675.780337,20751.237407,33.213508872,20353.335347,20351.241142,25715.794718
link-decrypt,2000,50,4,200,1000,1000,66485.999383,45687.707865,20798.291518,33.2429996915,20362.970355,20337.810647,25778.776325
link-decrypt,2000,50,5,200,1000,1000,66426.226071,45672.885843,20753.340228,33.2131130355,20372.483024,20334.926833,25712.386766
link-decrypt,2000,50,6,200,1000,1000,66937.040051,46012.751077,20924.288974,33.4685200255,20478.219321,20527.960087,25924.213518
link-decrypt,2000,50,7,200,1000,1000,67030.795338,46156.681521,20874.113817,33.515397668999995,20499.037294,20532.552685,25992.128747
link-decrypt,2000,50,8,200,1000,1000,66808.656421,45907.871796,20900.784625,33.404328210500005,20420.599119,20463.954046,25917.242772
link-decrypt,2000,50,9,200,1000,1000,66861.691195,45928.139804,20933.551391,33.4308455975,20403.315574,20467.170352,25983.880553
